trip_id,ref_no,latitude,longitude,datetime
1,443,19.186826,72.975595,2025-02-17 22:14:24
1,443,19.187968,72.975755,2025-02-17 22:14:47
1,443,19.189028,72.97596,2025-02-17 22:14:57
1,443,19.19032,72.976204,2025-02-17 22:15:07
1,443,19.191524,72.976386,2025-02-17 22:15:17
1,443,19.194806,72.97692,2025-02-17 22:16:05
1,443,19.194906,72.976959,2025-02-17 22:16:08
1,443,19.197868,72.977524,2025-02-17 22:17:21
1,443,19.198893,72.977484,2025-02-17 22:17:43
1,443,19.199695,72.977319,2025-02-17 22:18:03
1,443,19.200231,72.977364,2025-02-17 22:18:19
1,443,19.201415,72.977675,2025-02-17 22:18:39
1,443,19.202271,72.977831,2025-02-17 22:18:59
1,443,19.203242,72.977995,2025-02-17 22:19:28
1,443,19.204864,72.977746,2025-02-17 22:20:08
1,443,19.206108,72.978506,2025-02-17 22:20:39
1,443,19.206108,72.978506,2025-02-17 22:20:42
1,443,19.206057,72.979942,2025-02-17 22:21:08
1,443,19.20594,72.982368,2025-02-17 22:22:08
1,443,19.206017,72.982435,2025-02-17 22:22:11
1,443,19.206966,72.982475,2025-02-17 22:22:24
1,443,19.208764,72.982275,2025-02-17 22:23:17
2,39,19.201513,72.946493,2025-02-17 21:06:06
2,39,19.201357,72.94712,2025-02-17 21:06:29
2,39,19.201282,72.947404,2025-02-17 21:06:39
2,39,19.201184,72.947737,2025-02-17 21:06:52
2,39,19.20098,72.948746,2025-02-17 21:07:22
2,39,19.20166,72.949151,2025-02-17 21:08:21
2,39,19.20202,72.949226,2025-02-17 21:08:31
2,39,19.20226,72.949266,2025-02-17 21:08:50
2,39,19.203224,72.949448,2025-02-17 21:09:31
2,39,19.204206,72.949599,2025-02-17 21:10:10
2,39,19.204804,72.950524,2025-02-17 21:10:52
2,39,19.204824,72.950697,2025-02-17 21:11:12
2,39,19.204606,72.951773,2025-02-17 21:11:42
2,39,19.203997,72.95452,2025-02-17 21:13:02
2,39,19.203044,72.955955,2025-02-17 21:13:53
2,39,19.20236,72.95688,2025-02-17 21:14:22
2,39,19.201844,72.957755,2025-02-17 21:14:47
2,39,19.201755,72.958391,2025-02-17 21:15:10
2,39,19.200964,72.960328,2025-02-17 21:16:24
2,39,19.200964,72.960328,2025-02-17 21:16:33
2,39,19.200437,72.961324,2025-02-17 21:16:50
2,39,19.200304,72.961653,2025-02-17 21:17:00
2,39,19.200304,72.961653,2025-02-17 21:17:33
2,39,19.200304,72.961653,2025-02-17 21:17:53
2,39,19.198444,72.965813,2025-02-17 21:21:04
2,39,19.198217,72.966333,2025-02-17 21:21:09
2,39,19.197815,72.967697,2025-02-17 21:21:56
2,39,19.197933,72.967382,2025-02-17 21:21:57
2,39,19.19776,72.967697,2025-02-17 21:21:59
2,39,19.197737,72.967688,2025-02-17 21:22:00
2,39,19.197,72.967422,2025-02-17 21:22:22
2,39,19.195782,72.967048,2025-02-17 21:22:58
2,39,19.195782,72.967048,2025-02-17 21:23:11
2,39,19.195782,72.967048,2025-02-17 21:23:11
2,39,19.194057,72.966933,2025-02-17 21:23:39
2,39,19.193551,72.967515,2025-02-17 21:24:22
2,39,19.193286,72.967804,2025-02-17 21:24:32
2,39,19.191464,72.968262,2025-02-17 21:25:52
2,39,19.191006,72.96804,2025-02-17 21:26:09
2,39,19.190517,72.968017,2025-02-17 21:26:40
2,39,19.189257,72.967902,2025-02-17 21:27:10
2,39,19.189257,72.967902,2025-02-17 21:27:22
2,39,19.188757,72.967817,2025-02-17 21:27:30
2,39,19.188255,72.967688,2025-02-17 21:27:48
2,39,19.188082,72.967613,2025-02-17 21:27:58
2,39,19.18788,72.967582,2025-02-17 21:28:18
2,39,19.18788,72.967582,2025-02-17 21:28:21
2,39,19.187617,72.967728,2025-02-17 21:28:24
2,39,19.187235,72.968595,2025-02-17 21:28:58
2,39,19.187155,72.968995,2025-02-17 21:29:08
2,39,19.187155,72.968995,2025-02-17 21:29:14
2,39,19.187155,72.968995,2025-02-17 21:29:16
2,39,19.187115,72.969284,2025-02-17 21:29:20
2,39,19.187144,72.969528,2025-02-17 21:29:31
2,39,19.187142,72.969968,2025-02-17 21:29:44
2,39,19.187162,72.970426,2025-02-17 21:30:09
2,39,19.187771,72.973595,2025-02-17 21:31:32
2,39,19.187771,72.973595,2025-02-17 21:31:41
2,39,19.187771,72.973595,2025-02-17 21:32:02
2,39,19.187857,72.97428,2025-02-17 21:32:54
2,39,19.188624,72.974653,2025-02-17 21:33:34
2,39,19.188704,72.974746,2025-02-17 21:33:37
2,39,19.188977,72.975044,2025-02-17 21:34:36
2,39,19.188977,72.975044,2025-02-17 21:35:46
2,39,19.188977,72.975044,2025-02-17 21:36:06
2,39,19.188977,72.975044,2025-02-17 21:36:26
2,39,19.188977,72.975044,2025-02-17 21:36:36
2,39,19.188977,72.975044,2025-02-17 21:37:06
2,39,19.188977,72.975044,2025-02-17 21:37:26
2,39,19.188977,72.975044,2025-02-17 21:37:36
2,39,19.188977,72.975044,2025-02-17 21:37:56
2,39,19.188977,72.975044,2025-02-17 21:38:18
2,39,19.188977,72.975044,2025-02-17 21:38:26
2,39,19.188977,72.975044,2025-02-17 21:38:47
2,39,19.188977,72.975044,2025-02-17 21:46:41
2,39,19.188977,72.975044,2025-02-17 21:47:21
2,39,19.188977,72.975044,2025-02-17 21:47:51
2,39,19.188977,72.975044,2025-02-17 21:48:01
2,39,19.188977,72.975044,2025-02-17 21:48:31
2,39,19.188977,72.975044,2025-02-17 21:49:01
2,39,19.188977,72.975044,2025-02-17 21:49:31
2,39,19.188977,72.975044,2025-02-17 21:50:18
2,39,19.188977,72.975044,2025-02-17 21:50:28
2,39,19.188977,72.975044,2025-02-17 21:50:38
2,39,19.188977,72.975044,2025-02-17 21:50:58
2,39,19.188977,72.975044,2025-02-17 21:51:28
2,39,19.188977,72.975044,2025-02-17 21:51:48
2,39,19.188977,72.975044,2025-02-17 21:52:08
2,39,19.188977,72.975044,2025-02-17 21:52:18
2,39,19.188977,72.975044,2025-02-17 21:52:38
2,39,19.188977,72.975044,2025-02-17 21:52:48
2,39,19.188977,72.975044,2025-02-17 21:52:58
2,39,19.188977,72.975044,2025-02-17 21:53:18
2,39,19.188977,72.975044,2025-02-17 21:53:28
2,39,19.188977,72.975044,2025-02-17 21:54:08
2,39,19.188977,72.975044,2025-02-17 21:54:28
2,39,19.188977,72.975044,2025-02-17 21:54:38
2,39,19.188977,72.975044,2025-02-17 21:55:38
2,39,19.188977,72.975044,2025-02-17 21:56:08
2,39,19.188977,72.975044,2025-02-17 21:56:18
2,39,19.188977,72.975044,2025-02-17 21:56:58
2,39,19.188977,72.975044,2025-02-17 21:57:38
2,39,19.188977,72.975044,2025-02-17 21:57:58
2,39,19.188977,72.975044,2025-02-17 21:58:58
2,39,19.188977,72.975044,2025-02-17 21:59:18
2,39,19.188977,72.975044,2025-02-17 21:59:28
2,39,19.188977,72.975044,2025-02-17 22:00:08
2,39,19.188977,72.975044,2025-02-17 22:00:18
2,39,19.188977,72.975044,2025-02-17 22:01:08
2,39,19.188977,72.975044,2025-02-17 22:01:28
2,39,19.188977,72.975044,2025-02-17 22:01:48
2,39,19.188977,72.975044,2025-02-17 22:02:09
2,39,19.188977,72.975044,2025-02-17 22:02:28
2,39,19.188977,72.975044,2025-02-17 22:03:18
2,39,19.188977,72.975044,2025-02-17 22:03:48
2,39,19.188977,72.975044,2025-02-17 22:03:58
2,39,19.188977,72.975044,2025-02-17 22:04:08
2,39,19.188977,72.975044,2025-02-17 22:04:38
2,39,19.188977,72.975044,2025-02-17 22:05:38
2,39,19.188977,72.975044,2025-02-17 22:06:18
2,39,19.188977,72.975044,2025-02-17 22:06:38
2,39,19.188977,72.975044,2025-02-17 22:06:48
2,39,19.188977,72.975044,2025-02-17 22:06:58
2,39,19.188977,72.975044,2025-02-17 22:07:19
2,39,19.188977,72.975044,2025-02-17 22:07:38
2,39,19.188977,72.975044,2025-02-17 22:07:58
2,39,19.188977,72.975044,2025-02-17 22:08:28
2,39,19.188977,72.975044,2025-02-17 22:08:48
2,39,19.188977,72.975044,2025-02-17 22:11:20
2,39,19.188977,72.975044,2025-02-17 22:11:30
2,39,19.188977,72.975044,2025-02-17 22:12:00
2,39,19.188977,72.975044,2025-02-17 22:12:20
2,39,19.188977,72.975044,2025-02-17 22:12:22
2,39,19.188977,72.975044,2025-02-17 22:12:52
2,39,19.188977,72.975044,2025-02-17 22:14:22
2,39,19.188977,72.975044,2025-02-17 22:14:47
2,39,19.188977,72.975044,2025-02-17 22:15:07
2,39,19.188977,72.975044,2025-02-17 22:15:09
2,39,19.187693,72.976235,2025-02-17 22:16:11
2,39,19.187655,72.976564,2025-02-17 22:16:31
2,39,19.187655,72.976564,2025-02-17 22:16:51
2,39,19.187655,72.976564,2025-02-17 22:17:21
2,39,19.187655,72.976564,2025-02-17 22:18:01
2,39,19.187655,72.976564,2025-02-17 22:18:31
2,39,19.187655,72.976564,2025-02-17 22:19:01
2,39,19.187655,72.976564,2025-02-17 22:19:11
2,39,19.187655,72.976564,2025-02-17 22:20:21
2,39,19.187655,72.976564,2025-02-17 22:20:41
2,39,19.187655,72.976564,2025-02-17 22:21:11
2,39,19.187655,72.976564,2025-02-17 22:21:31
2,39,19.187655,72.976564,2025-02-17 22:22:42
2,39,19.187655,72.976564,2025-02-17 22:23:12
2,39,19.187655,72.976564,2025-02-17 22:23:32
2,39,19.187655,72.976564,2025-02-17 22:23:42
2,39,19.187655,72.976564,2025-02-17 22:24:12
2,39,19.187655,72.976564,2025-02-17 22:24:52
2,39,19.187655,72.976564,2025-02-17 22:25:07
2,39,19.187655,72.976564,2025-02-17 22:25:18
2,39,19.186771,72.97632,2025-02-17 22:25:33
2,39,19.186766,72.97624,2025-02-17 22:25:36
2,39,19.186766,72.97624,2025-02-17 22:25:55
2,39,19.186766,72.97624,2025-02-17 22:26:05
2,39,19.186713,72.975831,2025-02-17 22:26:29
2,39,19.186713,72.975831,2025-02-17 22:26:32
2,39,19.186713,72.975831,2025-02-17 22:26:52
2,39,19.186771,72.975546,2025-02-17 22:27:13
2,39,19.186902,72.97548,2025-02-17 22:27:23
2,39,19.194057,72.976724,2025-02-17 22:29:33
2,39,19.196155,72.977048,2025-02-17 22:30:30
2,39,19.196931,72.977151,2025-02-17 22:31:09
2,39,19.197231,72.977173,2025-02-17 22:31:28
2,39,19.197733,72.977262,2025-02-17 22:31:46
2,39,19.198406,72.977302,2025-02-17 22:32:13
2,39,19.200348,72.9774,2025-02-17 22:33:14
2,39,19.200828,72.977533,2025-02-17 22:33:18
2,39,19.202884,72.977911,2025-02-17 22:34:19
2,39,19.203184,72.977906,2025-02-17 22:34:39
2,39,19.203333,72.977888,2025-02-17 22:34:42
2,39,19.203333,72.977888,2025-02-17 22:34:46
2,39,19.204117,72.977728,2025-02-17 22:35:33
2,39,19.204428,72.977622,2025-02-17 22:35:58
2,39,19.204428,72.977622,2025-02-17 22:35:59
2,39,19.204875,72.977546,2025-02-17 22:36:05
2,39,19.2049,72.977586,2025-02-17 22:36:08
2,39,19.204911,72.977644,2025-02-17 22:36:11
2,39,19.204922,72.977737,2025-02-17 22:36:15
2,39,19.204962,72.977791,2025-02-17 22:36:18
2,39,19.20506,72.977831,2025-02-17 22:36:21
2,39,19.205288,72.977911,2025-02-17 22:36:32
2,39,19.206108,72.979226,2025-02-17 22:37:29
2,39,19.205984,72.981817,2025-02-17 22:39:31
2,39,19.205984,72.981817,2025-02-17 22:39:42
2,39,19.206059,72.982337,2025-02-17 22:39:51
2,39,19.207304,72.982466,2025-02-17 22:40:24
2,39,19.207304,72.982466,2025-02-17 22:40:35
2,39,19.207428,72.982537,2025-02-17 22:40:37
2,39,19.207428,72.982537,2025-02-17 22:40:38
2,39,19.207506,72.982551,2025-02-17 22:40:41
2,39,19.207506,72.982551,2025-02-17 22:40:49
2,39,19.207506,72.982551,2025-02-17 22:40:53
2,39,19.207793,72.982591,2025-02-17 22:40:57
2,39,19.207793,72.982591,2025-02-17 22:41:04
3,68,19.201057,72.948457,2025-02-17 19:52:45
3,68,19.201057,72.948457,2025-02-17 19:53:12
3,68,19.201464,72.949102,2025-02-17 19:53:23
3,68,19.202135,72.949342,2025-02-17 19:53:43
3,68,19.203068,72.949568,2025-02-17 19:54:13
3,68,19.204944,72.950057,2025-02-17 19:55:36
3,68,19.204875,72.949995,2025-02-17 19:55:38
3,68,19.204884,72.950613,2025-02-17 19:56:34
3,68,19.204117,72.954208,2025-02-17 19:57:51
3,68,19.203915,72.954702,2025-02-17 19:58:02
3,68,19.20296,72.956146,2025-02-17 19:58:42
3,68,19.201957,72.957604,2025-02-17 19:59:22
3,68,19.201957,72.957604,2025-02-17 19:59:51
3,68,19.201957,72.957604,2025-02-17 19:59:53
3,68,19.201128,72.960106,2025-02-17 20:01:45
3,68,19.200931,72.960488,2025-02-17 20:02:09
3,68,19.200931,72.960488,2025-02-17 20:02:18
3,68,19.199746,72.96292,2025-02-17 20:04:15
3,68,19.199746,72.96292,2025-02-17 20:04:25
3,68,19.199746,72.96292,2025-02-17 20:04:55
3,68,19.199746,72.96292,2025-02-17 20:04:58
3,68,19.199577,72.963715,2025-02-17 20:05:05
3,68,19.199082,72.964675,2025-02-17 20:05:45
3,68,19.198273,72.96636,2025-02-17 20:06:49
3,68,19.197622,72.967666,2025-02-17 20:07:55
3,68,19.197542,72.967626,2025-02-17 20:07:58
3,68,19.194082,72.966675,2025-02-17 20:09:41
3,68,19.194082,72.966675,2025-02-17 20:09:55
3,68,19.193495,72.967248,2025-02-17 20:10:11
3,68,19.193453,72.967328,2025-02-17 20:10:14
3,68,19.192313,72.96872,2025-02-17 20:11:26
3,68,19.192313,72.96872,2025-02-17 20:11:37
3,68,19.192313,72.96872,2025-02-17 20:11:56
3,68,19.191951,72.968964,2025-02-17 20:12:25
3,68,19.191904,72.968902,2025-02-17 20:12:28
3,68,19.19168,72.968528,2025-02-17 20:12:38
3,68,19.190873,72.967933,2025-02-17 20:13:06
3,68,19.190097,72.967697,2025-02-17 20:13:42
3,68,19.189095,72.967568,2025-02-17 20:14:25
3,68,19.188082,72.96756,2025-02-17 20:14:40
3,68,19.187624,72.967697,2025-02-17 20:14:58
3,68,19.187602,72.967786,2025-02-17 20:15:01
3,68,19.187122,72.969115,2025-02-17 20:15:51
3,68,19.187062,72.969413,2025-02-17 20:16:01
3,68,19.187028,72.969755,2025-02-17 20:16:11
3,68,19.187322,72.971017,2025-02-17 20:16:49
3,68,19.187693,72.97196,2025-02-17 20:17:09
3,68,19.187693,72.97196,2025-02-17 20:18:53
3,68,19.187693,72.97196,2025-02-17 20:19:33
3,68,19.18778,72.972671,2025-02-17 20:20:53
3,68,19.18778,72.972671,2025-02-17 20:21:23
3,68,19.18778,72.972671,2025-02-17 20:22:03
3,68,19.18778,72.972671,2025-02-17 20:22:43
3,68,19.18778,72.972671,2025-02-17 20:23:02
3,68,19.18778,72.972671,2025-02-17 20:23:23
3,68,19.18778,72.972671,2025-02-17 20:23:33
3,68,19.187828,72.974204,2025-02-17 20:23:46
3,68,19.187828,72.974204,2025-02-17 20:23:49
3,68,19.188988,72.975022,2025-02-17 20:24:38
3,68,19.189028,72.975106,2025-02-17 20:25:35
3,68,19.189028,72.975106,2025-02-17 20:26:05
3,68,19.188691,72.975777,2025-02-17 20:26:26
3,68,19.188691,72.975777,2025-02-17 20:26:59
3,68,19.188691,72.975777,2025-02-17 20:27:09
3,68,19.188691,72.975777,2025-02-17 20:27:30
3,68,19.188691,72.975777,2025-02-17 20:27:49
3,68,19.188691,72.975777,2025-02-17 20:28:10
3,68,19.188691,72.975777,2025-02-17 20:28:19
3,68,19.188691,72.975777,2025-02-17 20:29:30
3,68,19.188691,72.975777,2025-02-17 20:31:00
3,68,19.188691,72.975777,2025-02-17 20:31:19
3,68,19.188691,72.975777,2025-02-17 20:31:40
3,68,19.188691,72.975777,2025-02-17 20:31:59
